Site,Population,Species,Hybrid,Sample,Sequen_ID,Unique_ID,Extrac_event,Sample_Date,Subsampled,Subsampling_Qotes,Lyophilized,DNA_extr,Extr_date,DNA_conc._ng/µl,Extr_Box,Extraction_Method,Extr_notes,PCR1,PCR2,,sample_control
HUOB,HUOB,N,,5,HUOB_N005,HUOB_N005,1,5/12/2021,yes,,1,1,2/4/2023,3.95,2,OLD,,1,1,,sample
HUOB,HUOB,N,,5,HUOB_N005,HUOB_N005,1,5/12/2021,yes,,1,1,2/4/2023,3.95,2,OLD,,1,1,,sample
KNOB,KNOB,L,,1,KNOB_L001,KNOB_L001,1,6/14/2022,yes,,1,1,2/4/2023,8.93,2,OLD,,1,1,,sample
KNOB,KNOB,L,,1,KNOB_L001,KNOB_L001,1,6/14/2022,yes,,1,1,2/5/2023,8.93,2,OLD,,1,1,,sample
KNOB,KNOB,L,,1,KNOB_L001,KNOB_L001,1,6/14/2022,yes,,1,1,2/6/2023,8.93,2,OLD,,1,1,,sample
KNOB,KNOB,L,,10,KNOB_L010,KNOB_L010,1,6/14/2022,yes,,1,1,8/26/2022,0.286,1,OLD,,1,1,,sample
KNOB,KNOB,L,,10,KNOB_L010,KNOB_L010,1,6/14/2022,yes,,1,1,8/26/2022,0.286,1,OLD,,1,1,,sample
KNOB,KNOB,L,,10,KNOB_L010,KNOB_L010,1,6/14/2022,yes,,1,1,8/26/2022,0.286,1,OLD,,1,1,,sample
KNOB,KNOB,L,,2,KNOB_L002,KNOB_L002,1,6/14/2022,yes,not enough tissue (.29g),1,1,1/19/2023,5.83,2,OLD,,1,1,,sample
KNOB,KNOB,L,,2,KNOB_L002,KNOB_L002,1,6/14/2022,yes,not enough tissue (.29g),1,1,1/19/2023,5.83,2,OLD,,1,1,,sample
KNOB,KNOB,L,,2,KNOB_L002,KNOB_L002,1,6/14/2022,yes,not enough tissue (.29g),1,1,1/19/2023,5.83,2,OLD,,1,1,,sample
KNOB,KNOB,L,,3,KNOB_L003,KNOB_L003,1,6/14/2022,yes,not enough tissue (.17g),1,1,1/19/2023,4.49,2,OLD,,1,1,,sample
KNOB,KNOB,L,,3,KNOB_L003,KNOB_L003,1,6/14/2022,yes,not enough tissue (.17g),1,1,1/19/2023,4.49,2,OLD,,1,1,,sample
KNOB,KNOB,L,,3,KNOB_L003,KNOB_L003,1,6/14/2022,yes,not enough tissue (.17g),1,1,1/19/2023,4.49,2,OLD,,1,1,,sample
KNOB,KNOB,L,,4,KNOB_L004,KNOB_L004,1,6/14/2022,yes,,1,1,1/12/2023,2.99,2,OLD,,1,1,,sample
KNOB,KNOB,L,,4,KNOB_L004,KNOB_L004,1,6/14/2022,yes,,1,1,1/12/2023,2.99,2,OLD,,1,1,,sample
KNOB,KNOB,L,,4,KNOB_L004,KNOB_L004,1,6/14/2022,yes,,1,1,1/12/2023,2.99,2,OLD,,1,1,,sample
KNOB,KNOB,L,,5,KNOB_L005,KNOB_L005,1,6/14/2022,yes,,1,1,8/26/2022,0.382,1,OLD,,1,1,,sample
KNOB,KNOB,L,,5,KNOB_L005,KNOB_L005,1,6/14/2022,yes,,1,1,8/26/2022,0.382,1,OLD,,1,1,,sample
KNOB,KNOB,L,,5,KNOB_L005,KNOB_L005,1,6/14/2022,yes,,1,1,8/26/2022,0.382,1,OLD,,1,1,,sample
KNOB,KNOB,L,,6,KNOB_L006,KNOB_L006,1,6/14/2022,yes,,1,1,3/14/2023,5.59,3,OLD,,0,0,,sample
KNOB,KNOB,L,,6,KNOB_L006,KNOB_L006,1,6/14/2022,yes,,1,1,3/14/2023,5.59,3,OLD,,0,0,,sample
KNOB,KNOB,L,,6,KNOB_L006,KNOB_L006,1,6/14/2022,yes,,1,1,3/14/2023,5.59,3,OLD,,0,0,,sample
KNOB,KNOB,L,,7,KNOB_L007,KNOB_L007,1,6/14/2022,yes,,1,1,5/7/2023,4.15,3,NEW,,0,0,,sample
KNOB,KNOB,L,,7,KNOB_L007,KNOB_L007,1,6/14/2022,yes,,1,1,5/7/2023,4.15,3,NEW,,0,0,,sample
KNOB,KNOB,L,,7,KNOB_L007,KNOB_L007,1,6/14/2022,yes,,1,1,5/7/2023,4.15,3,NEW,,0,0,,sample
KNOB,KNOB,L,,8,KNOB_L008,KNOB_L008,1,6/14/2022,yes,not enough tissue (.13g),1,1,1/19/2023,3.68,2,OLD,,1,1,,sample
KNOB,KNOB,L,,8,KNOB_L008,KNOB_L008,1,6/14/2022,yes,not enough tissue (.13g),1,1,1/19/2023,3.68,2,OLD,,1,1,,sample
KNOB,KNOB,L,,8,KNOB_L008,KNOB_L008,1,6/14/2022,yes,not enough tissue (.13g),1,1,1/19/2023,3.68,2,OLD,,1,1,,sample
KNOB,KNOB,L,,9,KNOB_L009,KNOB_L009,1,6/14/2022,yes,,1,1,8/26/2022,0.398,1,OLD,see KNOB_L209,1,1,,sample
KNOB,KNOB,L,,9,KNOB_L009,KNOB_L009,1,6/14/2022,yes,,1,1,8/26/2022,0.398,1,OLD,see KNOB_L210,1,1,,sample
KNOB,KNOB,L,,9,KNOB_L009,KNOB_L009,1,6/14/2022,yes,,1,1,8/26/2022,0.398,1,OLD,see KNOB_L211,1,1,,sample
KNOB,KNOB,L,,10,KNOB_L010,KNOB_L010,,,,,,,,,,,,0,0,,sample
KNOB,KNOB,L,,10,KNOB_L010,KNOB_L010,,,,,,,,,,,,0,0,,sample
KNOB,KNOB,L,,10,KNOB_L010,KNOB_L010,,,,,,,,,,,,0,0,,sample
LMZZ,LMZZ,G,,1,LMZZ_G001,LMZZ_G001,1,6/24/2021,yes,,1,1,5/7/2023,28.4,3,NEW,,0,0,,sample
LMZZ,LMZZ,G,,1,LMZZ_G001,LMZZ_G001,1,6/24/2021,yes,,1,1,5/7/2023,28.4,3,NEW,,0,0,,sample
LMZZ,LMZZ,G,,1,LMZZ_G001,LMZZ_G001,1,6/24/2021,yes,,1,1,5/7/2023,28.4,3,NEW,,0,0,,sample
LMZZ,LMZZ,G,,10,LMZZ_G010,LMZZ_G010,1,6/24/2021,yes,,1,1,5/7/2023,24.7,3,NEW,,0,0,,sample
LMZZ,LMZZ,G,,10,LMZZ_G010,LMZZ_G010,1,6/24/2021,yes,,1,1,5/7/2023,24.7,3,NEW,,0,0,,sample
LMZZ,LMZZ,G,,10,LMZZ_G010,LMZZ_G010,1,6/24/2021,yes,,1,1,5/7/2023,24.7,3,NEW,,0,0,,sample
LMZZ,LMZZ,G,,2,LMZZ_G002,LMZZ_G002,1,6/24/2021,yes,,1,1,3/14/2023,7.07,3,OLD,,1,1,,sample
LMZZ,LMZZ,G,,2,LMZZ_G002,LMZZ_G002,1,6/24/2021,yes,,1,1,3/14/2023,7.07,3,OLD,,1,1,,sample
LMZZ,LMZZ,G,,2,LMZZ_G002,LMZZ_G002,1,6/24/2021,yes,,1,1,3/14/2023,7.07,3,OLD,,1,1,,sample
LMZZ,LMZZ,G,,3,LMZZ_G003,LMZZ_G003,1,6/24/2021,yes,,1,1,5/10/2023,30.4,3,NEW,,0,0,,sample
LMZZ,LMZZ,G,,3,LMZZ_G003,LMZZ_G003,1,6/24/2021,yes,,1,1,5/10/2023,30.4,3,NEW,,0,0,,sample
LMZZ,LMZZ,G,,3,LMZZ_G003,LMZZ_G003,1,6/24/2021,yes,,1,1,5/10/2023,30.4,3,NEW,,0,0,,sample
LMZZ,LMZZ,G,,4,LMZZ_G004,LMZZ_G004,1,6/24/2021,yes,,1,1,1/19/2023,6.18,2,OLD,,1,1,,sample
LMZZ,LMZZ,G,,4,LMZZ_G004,LMZZ_G004,1,6/24/2021,yes,,1,1,1/19/2023,6.18,2,OLD,,1,1,,sample
LMZZ,LMZZ,G,,4,LMZZ_G004,LMZZ_G004,1,6/24/2021,yes,,1,1,1/19/2023,6.18,2,OLD,,1,1,,sample
LMZZ,LMZZ,G,,5,LMZZ_G005,LMZZ_G005,1,6/24/2021,yes,"not enough tissue (.21g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,0.996,4,NEW,,0,0,,sample
LMZZ,LMZZ,G,,5,LMZZ_G005,LMZZ_G005,1,6/24/2021,yes,"not enough tissue (.21g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,0.996,4,NEW,,0,0,,sample
LMZZ,LMZZ,G,,5,LMZZ_G005,LMZZ_G005,1,6/24/2021,yes,"not enough tissue (.21g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,0.996,4,NEW,,0,0,,sample
LMZZ,LMZZ,G,,6,LMZZ_G006,LMZZ_G006,1,6/24/2021,yes,,1,1,2/24/2023,5,3,OLD,,1,1,,sample
LMZZ,LMZZ,G,,6,LMZZ_G006,LMZZ_G006,1,6/24/2021,yes,,1,1,2/24/2023,5,3,OLD,,1,1,,sample
LMZZ,LMZZ,G,,6,LMZZ_G006,LMZZ_G006,1,6/24/2021,yes,,1,1,2/24/2023,5,3,OLD,,1,1,,sample
LMZZ,LMZZ,G,,7,LMZZ_G007,LMZZ_G007,1,6/24/2021,yes,,1,1,5/7/2023,20.1,3,NEW,,0,0,,sample
LMZZ,LMZZ,G,,7,LMZZ_G007,LMZZ_G007,1,6/24/2021,yes,,1,1,5/7/2023,20.1,3,NEW,,0,0,,sample
LMZZ,LMZZ,G,,7,LMZZ_G007,LMZZ_G007,1,6/24/2021,yes,,1,1,5/7/2023,20.1,3,NEW,,0,0,,sample
LMZZ,LMZZ,G,,8,LMZZ_G008,LMZZ_G008,1,6/24/2021,yes,,1,1,3/14/2023,10.1,3,OLD,,1,1,,sample
LMZZ,LMZZ,G,,8,LMZZ_G008,LMZZ_G008,1,6/24/2021,yes,,1,1,3/14/2023,10.1,3,OLD,,1,1,,sample
LMZZ,LMZZ,G,,8,LMZZ_G008,LMZZ_G008,1,6/24/2021,yes,,1,1,3/14/2023,10.1,3,OLD,,1,1,,sample
LMZZ,LMZZ,G,,9,LMZZ_G009,LMZZ_G009,1,6/24/2021,yes,,1,1,5/7/2023,19.7,3,NEW,,0,0,,sample
LMZZ,LMZZ,G,,9,LMZZ_G009,LMZZ_G009,1,6/24/2021,yes,,1,1,5/7/2023,19.7,3,NEW,,0,0,,sample
LMZZ,LMZZ,G,,9,LMZZ_G009,LMZZ_G009,1,6/24/2021,yes,,1,1,5/7/2023,19.7,3,NEW,,0,0,,sample
LYFB,LYFB,G,,1,LYFB_G001,LYFB_G001,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,34.1,4,NEW,,0,0,,sample
LYFB,LYFB,G,,1,LYFB_G001,LYFB_G001,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,34.1,4,NEW,,0,0,,sample
LYFB,LYFB,G,,1,LYFB_G001,LYFB_G001,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,34.1,4,NEW,,0,0,,sample
LYFB,LYFB,G,,2,LYFB_G002,LYFB_G002,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,1.78,4,NEW,,0,0,,sample
LYFB,LYFB,G,,2,LYFB_G002,LYFB_G002,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,1.78,4,NEW,,0,0,,sample
LYFB,LYFB,G,,2,LYFB_G002,LYFB_G002,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,1.78,4,NEW,,0,0,,sample
LYFB,LYFB,G,,3,LYFB_G003,LYFB_G003,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,4.91,4,NEW,,0,0,,sample
LYFB,LYFB,G,,3,LYFB_G003,LYFB_G003,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,4.91,4,NEW,,0,0,,sample
LYFB,LYFB,G,,3,LYFB_G003,LYFB_G003,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,4.91,4,NEW,,0,0,,sample
LYFB,LYFB,G,,4,LYFB_G004,LYFB_G004,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,16,4,NEW,,0,0,,sample
LYFB,LYFB,G,,4,LYFB_G004,LYFB_G004,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,16,4,NEW,,0,0,,sample
LYFB,LYFB,G,,4,LYFB_G004,LYFB_G004,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/31/2023,16,4,NEW,,0,0,,sample
LYFB,LYFB,G,,5,LYFB_G005,LYFB_G005,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,5.96,4,NEW,,0,0,,sample
LYFB,LYFB,G,,5,LYFB_G005,LYFB_G005,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,5.96,4,NEW,,0,0,,sample
LYFB,LYFB,G,,5,LYFB_G005,LYFB_G005,1,5/7/2021,yes,"1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/30/2023,5.96,4,NEW,,0,0,,sample
NFWB,NFWB,L,,1,NFWB_L001,NFWB_L001,1,5/12/2022,yes,,1,1,5/12/2023,28.6,3,NEW,,0,0,,sample
NFWB,NFWB,L,,1,NFWB_L001,NFWB_L001,1,5/12/2022,yes,,1,1,5/12/2023,28.6,3,NEW,,0,0,,sample
NFWB,NFWB,L,,1,NFWB_L001,NFWB_L001,1,5/12/2022,yes,,1,1,5/12/2023,28.6,3,NEW,,0,0,,sample
NFWB,NFWB,L,,10,NFWB_L010,NFWB_L010,1,5/12/2022,yes,,1,1,12/19/2022,8.8,2,OLD,,1,1,,sample
NFWB,NFWB,L,,10,NFWB_L010,NFWB_L010,1,5/12/2022,yes,,1,1,12/19/2022,8.8,2,OLD,,1,1,,sample
NFWB,NFWB,L,,10,NFWB_L010,NFWB_L010,1,5/12/2022,yes,,1,1,12/19/2022,8.8,2,OLD,,1,1,,sample
NFWB,NFWB,L,,2,NFWB_L002,NFWB_L002,1,5/12/2022,yes,,1,1,5/10/2023,22.22,3,NEW,,0,0,,sample
NFWB,NFWB,L,,2,NFWB_L002,NFWB_L002,1,5/12/2022,yes,,1,1,5/10/2023,22.22,3,NEW,,0,0,,sample
NFWB,NFWB,L,,2,NFWB_L002,NFWB_L002,1,5/12/2022,yes,,1,1,5/10/2023,22.22,3,NEW,,0,0,,sample
NFWB,NFWB,L,,3,NFWB_L003,NFWB_L003,1,5/12/2022,yes,"not enough tissue (.11g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,7.58,4,NEW,,0,0,,sample
NFWB,NFWB,L,,3,NFWB_L003,NFWB_L003,1,5/12/2022,yes,"not enough tissue (.11g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,7.58,4,NEW,,0,0,,sample
NFWB,NFWB,L,,3,NFWB_L003,NFWB_L003,1,5/12/2022,yes,"not enough tissue (.11g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,7.58,4,NEW,,0,0,,sample
NFWB,NFWB,L,,4,NFWB_L004,NFWB_L004,1,5/12/2022,yes,,1,1,1/12/2023,1.65,2,OLD,,1,1,,sample
NFWB,NFWB,L,,4,NFWB_L004,NFWB_L004,1,5/12/2022,yes,,1,1,1/12/2023,1.65,2,OLD,,1,1,,sample
NFWB,NFWB,L,,4,NFWB_L004,NFWB_L004,1,5/12/2022,yes,,1,1,1/12/2023,1.65,2,OLD,,1,1,,sample
NFWB,NFWB,L,,5,NFWB_L005,NFWB_L005,1,5/12/2022,yes,,1,1,5/7/2023,13.3,3,NEW,,0,0,,sample
NFWB,NFWB,L,,5,NFWB_L005,NFWB_L005,1,5/12/2022,yes,,1,1,5/7/2023,13.3,3,NEW,,0,0,,sample
NFWB,NFWB,L,,5,NFWB_L005,NFWB_L005,1,5/12/2022,yes,,1,1,5/7/2023,13.3,3,NEW,,0,0,,sample
NFWB,NFWB,L,,6,NFWB_L006,NFWB_L006,1,5/12/2022,yes,,1,1,10/8/2022,9.33,,OLD,,1,1,,sample
NFWB,NFWB,L,,6,NFWB_L006,NFWB_L006,1,5/12/2022,yes,,1,1,10/8/2022,9.33,,OLD,,1,1,,sample
NFWB,NFWB,L,,6,NFWB_L006,NFWB_L006,1,5/12/2022,yes,,1,1,10/8/2022,9.33,,OLD,,1,1,,sample
NFWB,NFWB,L,,7,NFWB_L007,NFWB_L007,1,5/12/2022,yes,"not enough tissue (.13g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,8.12,4,NEW,,0,0,,sample
NFWB,NFWB,L,,7,NFWB_L007,NFWB_L007,1,5/12/2022,yes,"not enough tissue (.13g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,8.12,4,NEW,,0,0,,sample
NFWB,NFWB,L,,7,NFWB_L007,NFWB_L007,1,5/12/2022,yes,"not enough tissue (.13g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,8.12,4,NEW,,0,0,,sample
NFWB,NFWB,L,,8,NFWB_L008,NFWB_L008,1,5/12/2022,yes,,1,1,3/14/2023,0.284,3,OLD,,0,0,,sample
NFWB,NFWB,L,,8,NFWB_L008,NFWB_L008,1,5/12/2022,yes,,1,1,3/14/2023,0.284,3,OLD,,0,0,,sample
NFWB,NFWB,L,,8,NFWB_L008,NFWB_L008,1,5/12/2022,yes,,1,1,3/14/2023,0.284,3,OLD,,0,0,,sample
NFWB,NFWB,L,,9,NFWB_L009,NFWB_L009,1,5/12/2022,yes,not enough tissue (.27g),1,1,5/12/2023,11.9,3,NEW,,0,0,,sample
NFWB,NFWB,L,,9,NFWB_L009,NFWB_L009,1,5/12/2022,yes,not enough tissue (.27g),1,1,5/12/2023,11.9,3,NEW,,0,0,,sample
NFWB,NFWB,L,,9,NFWB_L009,NFWB_L009,1,5/12/2022,yes,not enough tissue (.27g),1,1,5/12/2023,11.9,3,NEW,,0,0,,sample
NFWB,NFWB,N,,1,NFWB_N001,NFWB_N001,1,5/12/2022,yes,,1,1,12/19/2022,3.34,2,OLD,,1,1,,sample
NFWB,NFWB,N,,1,NFWB_N001,NFWB_N001,1,5/12/2022,yes,,1,1,12/19/2022,3.34,2,OLD,,1,1,,sample
NFWB,NFWB,N,,1,NFWB_N001,NFWB_N001,1,5/12/2022,yes,,1,1,12/19/2022,3.34,2,OLD,,1,1,,sample
NFWB,NFWB,N,,10,NFWB_N010,NFWB_N010,1,5/12/2022,yes,,1,1,10/8/2022,4.41,,OLD,,1,1,,sample
NFWB,NFWB,N,,10,NFWB_N010,NFWB_N010,1,5/12/2022,yes,,1,1,10/8/2022,4.41,,OLD,,1,1,,sample
NFWB,NFWB,N,,10,NFWB_N010,NFWB_N010,1,5/12/2022,yes,,1,1,10/8/2022,4.41,,OLD,,1,1,,sample
NFWB,NFWB,N,,2,NFWB_N002,NFWB_N002,1,5/12/2022,yes,,1,1,8/26/2022,0.493,1,OLD,,1,1,,sample
NFWB,NFWB,N,,2,NFWB_N002,NFWB_N002,1,5/12/2022,yes,,1,1,8/26/2022,0.493,1,OLD,,1,1,,sample
NFWB,NFWB,N,,2,NFWB_N002,NFWB_N002,1,5/12/2022,yes,,1,1,8/26/2022,0.493,1,OLD,,1,1,,sample
NFWB,NFWB,N,,3,NFWB_N003,NFWB_N003,1,5/12/2022,yes,,1,1,8/26/2022,0.275,1,OLD,,1,1,,sample
NFWB,NFWB,N,,3,NFWB_N003,NFWB_N003,1,5/12/2022,yes,,1,1,8/26/2022,0.275,1,OLD,,1,1,,sample
NFWB,NFWB,N,,3,NFWB_N003,NFWB_N003,1,5/12/2022,yes,,1,1,8/26/2022,0.275,1,OLD,,1,1,,sample
NFWB,NFWB,N,,4,NFWB_N004,NFWB_N004,1,5/12/2022,yes,not enough tissue (.23g),1,1,5/10/2023,5.81,3,NEW,,0,0,,sample
NFWB,NFWB,N,,4,NFWB_N004,NFWB_N004,1,5/12/2022,yes,not enough tissue (.23g),1,1,5/10/2023,5.81,3,NEW,,0,0,,sample
NFWB,NFWB,N,,4,NFWB_N004,NFWB_N004,1,5/12/2022,yes,not enough tissue (.23g),1,1,5/10/2023,5.81,3,NEW,,0,0,,sample
NFWB,NFWB,N,,5,NFWB_N005,NFWB_N005,1,5/12/2022,yes,"not enough tissue (.20g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,3.74,4,NEW,,0,0,,sample
NFWB,NFWB,N,,5,NFWB_N005,NFWB_N005,1,5/12/2022,yes,"not enough tissue (.20g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,3.74,4,NEW,,0,0,,sample
NFWB,NFWB,N,,5,NFWB_N005,NFWB_N005,1,5/12/2022,yes,"not enough tissue (.20g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,3.74,4,NEW,,0,0,,sample
NFWB,NFWB,N,,6,NFWB_N006,NFWB_N006,1,5/12/2022,yes,,1,1,10/8/2022,0.787,,OLD,,1,1,,sample
NFWB,NFWB,N,,6,NFWB_N006,NFWB_N006,1,5/12/2022,yes,,1,1,10/8/2022,0.787,,OLD,,1,1,,sample
NFWB,NFWB,N,,6,NFWB_N006,NFWB_N006,1,5/12/2022,yes,,1,1,10/8/2022,0.787,,OLD,,1,1,,sample
NFWB,NFWB,N,,7,NFWB_N007,NFWB_N007,1,5/12/2022,yes,,1,1,3/14/2023,1.71,3,OLD,,1,1,,sample
NFWB,NFWB,N,,7,NFWB_N007,NFWB_N007,1,5/12/2022,yes,,1,1,3/14/2023,1.71,3,OLD,,1,1,,sample
NFWB,NFWB,N,,7,NFWB_N007,NFWB_N007,1,5/12/2022,yes,,1,1,3/14/2023,1.71,3,OLD,,1,1,,sample
NFWB,NFWB,N,,8,NFWB_N008,NFWB_N008,1,5/12/2022,yes,,1,1,10/8/2022,0.116,,OLD,,1,1,,sample
NFWB,NFWB,N,,8,NFWB_N008,NFWB_N008,1,5/12/2022,yes,,1,1,10/8/2022,0.116,,OLD,,1,1,,sample
NFWB,NFWB,N,,8,NFWB_N008,NFWB_N008,1,5/12/2022,yes,,1,1,10/8/2022,0.116,,OLD,,1,1,,sample
NFWB,NFWB,N,,9,NFWB_N009,NFWB_N009,1,5/12/2022,yes,,1,1,12/19/2022,11.8,2,OLD,,1,1,,sample
NFWB,NFWB,N,,9,NFWB_N009,NFWB_N009,1,5/12/2022,yes,,1,1,12/19/2022,11.8,2,OLD,,1,1,,sample
NFWB,NFWB,N,,9,NFWB_N009,NFWB_N009,1,5/12/2022,yes,,1,1,12/19/2022,11.8,2,OLD,,1,1,,sample
OPNZ,OPNZ,L,,1,OPNZ_L001,OPNZ_L001,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,1,OPNZ_L001,OPNZ_L001,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,1,OPNZ_L001,OPNZ_L001,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,2,OPNZ_L002,OPNZ_L002,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,2,OPNZ_L002,OPNZ_L002,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,2,OPNZ_L002,OPNZ_L002,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,3,OPNZ_L003,OPNZ_L003,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,3,OPNZ_L003,OPNZ_L003,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,3,OPNZ_L003,OPNZ_L003,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,4,OPNZ_L004,OPNZ_L004,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,4,OPNZ_L004,OPNZ_L004,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,4,OPNZ_L004,OPNZ_L004,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,5,OPNZ_L005,OPNZ_L005,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,5,OPNZ_L005,OPNZ_L005,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,5,OPNZ_L005,OPNZ_L005,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,6,OPNZ_L006,OPNZ_L006,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,6,OPNZ_L006,OPNZ_L006,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,6,OPNZ_L006,OPNZ_L006,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,7,OPNZ_L007,OPNZ_L007,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,7,OPNZ_L007,OPNZ_L007,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,7,OPNZ_L007,OPNZ_L007,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,8,OPNZ_L008,OPNZ_L008,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,8,OPNZ_L008,OPNZ_L008,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,8,OPNZ_L008,OPNZ_L008,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,9,OPNZ_L009,OPNZ_L009,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,9,OPNZ_L009,OPNZ_L009,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,9,OPNZ_L009,OPNZ_L009,,7/17/2021,,,,,,,,,,0,0,,sample
OPNZ,OPNZ,L,,10,OPNZ_L010,OPNZ_L010,,7/17/2021,,,1,1,1/12/2023,0,,OLD,,1,1,,sample
OPNZ,OPNZ,L,,10,OPNZ_L010,OPNZ_L010,,7/17/2021,,,1,1,1/12/2023,0,,OLD,,1,1,,sample
OPNZ,OPNZ,L,,10,OPNZ_L010,OPNZ_L010,,7/17/2021,,,1,1,1/12/2023,0,,OLD,,1,1,,sample
OPNZ,OPNZ,L,,101,OPNZ_L101,OPNZ_L101,1,6/14/2022,yes,,1,1,1/19/2023,7,2,OLD,,1,1,,sample
OPNZ,OPNZ,L,,101,OPNZ_L101,OPNZ_L101,1,6/14/2022,yes,,1,1,1/19/2023,7,2,OLD,,1,1,,sample
OPNZ,OPNZ,L,,101,OPNZ_L101,OPNZ_L101,1,6/14/2022,yes,,1,1,1/19/2023,7,2,OLD,,1,1,,sample
OPNZ,OPNZ,L,,102,OPNZ_L102,OPNZ_L102,1,6/14/2022,yes,,1,1,3/14/2023,7.2,3,OLD,,0,0,,sample
